spotify_track_uri,ts,platform,ms_played,track_name,artist_name,album_name,reason_start,reason_end,shuffle,skipped
08sbpioHxwU7zyyMvmC8A9,11/11/2023 6:39,android,195133,Sara' Perche Ti Amo,Ricchi E Poveri,Ricchi E Poveri - Grandi Successi,trackdone,trackdone,TRUE,FALSE
3NlLmKBJozwoi0k03Feb1N,11/11/2023 6:40,android,54700,Isn't She Lovely,Stevie Wonder,The Definitive Collection,trackdone,endplay,TRUE,TRUE
714hERk9U1W8FMYkoC83CO,11/11/2023 6:44,android,244920,You Sexy Thing,Hot Chocolate,Hot Chocolate,clickrow,trackdone,TRUE,FALSE
6uzGmmQ4CuG9HvZktEy0LF,11/11/2023 6:49,android,250983,Qué Bonito Es Querer,Manuel Carrasco,La Cruz Del Mapa,trackdone,endplay,TRUE,TRUE
714hERk9U1W8FMYkoC83CO,11/11/2023 6:58,android,244920,You Sexy Thing,Hot Chocolate,Hot Chocolate,clickrow,trackdone,TRUE,FALSE
6uzGmmQ4CuG9HvZktEy0LF,11/11/2023 7:03,android,270187,Qué Bonito Es Querer,Manuel Carrasco,La Cruz Del Mapa,trackdone,trackdone,TRUE,FALSE
7gr9lJ5mVX0PfrApeAyT76,11/11/2023 7:06,android,190980,Antes Que al Mío,Los Ángeles Azules,Esto Sí Es Cumbia,trackdone,trackdone,TRUE,FALSE
3NlLmKBJozwoi0k03Feb1N,11/11/2023 7:12,android,199386,Isn't She Lovely,Stevie Wonder,The Definitive Collection,trackdone,trackdone,TRUE,FALSE
08sbpioHxwU7zyyMvmC8A9,11/11/2023 7:15,android,195133,Sara' Perche Ti Amo,Ricchi E Poveri,Ricchi E Poveri - Grandi Successi,trackdone,trackdone,TRUE,FALSE
47BBI51FKFwOMlIiX6m8ya,11/11/2023 7:19,android,213306,I Want It That Way,Backstreet Boys,Millennium,trackdone,trackdone,TRUE,FALSE
714hERk9U1W8FMYkoC83CO,11/11/2023 7:47,android,198948,You Sexy Thing,Hot Chocolate,Hot Chocolate,trackdone,logout,TRUE,FALSE
714hERk9U1W8FMYkoC83CO,11/11/2023 20:35,android,471734,You Sexy Thing,Hot Chocolate,Hot Chocolate,clickrow,trackdone,TRUE,FALSE
7gr9lJ5mVX0PfrApeAyT76,11/11/2023 20:38,android,190980,Antes Que al Mío,Los Ángeles Azules,Esto Sí Es Cumbia,trackdone,trackdone,TRUE,FALSE
6uzGmmQ4CuG9HvZktEy0LF,11/11/2023 20:51,android,131319,Qué Bonito Es Querer,Manuel Carrasco,La Cruz Del Mapa,trackdone,logout,TRUE,FALSE
6uzGmmQ4CuG9HvZktEy0LF,13-11-2023 06:24,android,139268,Qué Bonito Es Querer,Manuel Carrasco,La Cruz Del Mapa,appload,trackdone,TRUE,FALSE
3NlLmKBJozwoi0k03Feb1N,13-11-2023 06:28,android,199386,Isn't She Lovely,Stevie Wonder,The Definitive Collection,trackdone,trackdone,TRUE,FALSE
47BBI51FKFwOMlIiX6m8ya,13-11-2023 06:31,android,213306,I Want It That Way,Backstreet Boys,Millennium,trackdone,trackdone,TRUE,FALSE
08sbpioHxwU7zyyMvmC8A9,13-11-2023 06:34,android,195133,Sara' Perche Ti Amo,Ricchi E Poveri,Ricchi E Poveri - Grandi Successi,trackdone,trackdone,TRUE,FALSE
714hERk9U1W8FMYkoC83CO,13-11-2023 06:38,android,244920,You Sexy Thing,Hot Chocolate,Hot Chocolate,trackdone,trackdone,TRUE,FALSE
7gr9lJ5mVX0PfrApeAyT76,13-11-2023 06:42,android,190980,Antes Que al Mío,Los Ángeles Azules,Esto Sí Es Cumbia,trackdone,trackdone,TRUE,FALSE
6uzGmmQ4CuG9HvZktEy0LF,13-11-2023 06:46,android,270187,Qué Bonito Es Querer,Manuel Carrasco,La Cruz Del Mapa,trackdone,trackdone,TRUE,FALSE
3NlLmKBJozwoi0k03Feb1N,13-11-2023 06:50,android,199386,Isn't She Lovely,Stevie Wonder,The Definitive Collection,trackdone,trackdone,TRUE,FALSE
47BBI51FKFwOMlIiX6m8ya,13-11-2023 07:06,android,145551,I Want It That Way,Backstreet Boys,Millennium,trackdone,logout,TRUE,FALSE
2xc1rXfo3Yn20n7wIzmjeu,15-11-2023 05:48,android,157293,Paradise (feat. Yung Bleu),H.E.R.,Back of My Mind,playbtn,trackdone,TRUE,FALSE
3dD9yyYTQ73SZvyOygyKva,15-11-2023 05:52,android,196706,High (& Dua Lipa),Whethan,Fifty Shades Freed - Original Motion Picture Soundtrack,trackdone,trackdone,TRUE,FALSE
3krZxyBsWEHfEfJegYaWTd,15-11-2023 05:55,android,214093,Come Through (feat. Chris Brown),H.E.R.,Come Through (feat. Chris Brown),trackdone,trackdone,TRUE,FALSE
6l0Ky2PycJV1Bz88kFeVGL,15-11-2023 05:59,android,219373,Capital Letters,Hailee Steinfeld,Fifty Shades Freed - Original Motion Picture Soundtrack,trackdone,trackdone,TRUE,FALSE
31CChSC1Sz3IG6dLjSpiM4,15-11-2023 06:04,android,273342,Slow Wine Bass Line (feat. Teddy Riley),Lloyd,Slow Wine Bass Line (feat. Teddy Riley),trackdone,trackdone,TRUE,FALSE
7y3Z9FXaoPs4C6m6zF9jYj,15-11-2023 06:07,android,184320,WYD (What You Doing),Sariah,WYD (What You Doing),trackdone,trackdone,TRUE,FALSE
232jKM7OzWMfuwHyf9r3dX,15-11-2023 06:09,android,144350,Drama (feat. Drake),Roy Woods,Drama (feat. Drake),trackdone,endplay,TRUE,TRUE
714hERk9U1W8FMYkoC83CO,15-11-2023 06:13,android,244920,You Sexy Thing,Hot Chocolate,Hot Chocolate,clickrow,trackdone,TRUE,FALSE
0tkBOcK7oRVXQJY97zzSvr,15-11-2023 06:17,android,228293,Telescope,Cage The Elephant,Melophobia,trackdone,trackdone,TRUE,FALSE
2A0ZLZ2Bixhcnf9Jkdh5Xp,15-11-2023 06:18,android,39453,Yolanda,Pablo Milanés,Yo Me Quedo,trackdone,fwdbtn,TRUE,TRUE
6Pur3hWy6Nzc27ilmsp5HA,15-11-2023 06:22,android,222226,Lamento Boliviano,Los Enanitos Verdes,Big Bang,fwdbtn,trackdone,TRUE,FALSE
35fC3Wq3slX4OBfyvBVmHm,15-11-2023 06:26,android,284800,Samba Pa Ti,Santana,Abraxas,trackdone,trackdone,TRUE,FALSE
6QfS2wq5sSC1xAJCQsTSlj,15-11-2023 06:30,android,217212,Shallow - Radio Edit,Lady Gaga,A Star Is Born Soundtrack,trackdone,trackdone,TRUE,FALSE
3G7tRC24Uh09Hmp1KZ7LQ2,15-11-2023 06:33,android,167373,I'm a Believer - 2006 Remaster,The Monkees,More of The Monkees,trackdone,trackdone,TRUE,FALSE
7kzKAuUzOITUauHAhoMoxA,15-11-2023 06:36,android,193050,Last Nite,The Strokes,Is This It,trackdone,trackdone,TRUE,FALSE
3B4q6KbHbGV51HO3GznBFF,15-11-2023 06:39,android,170906,What I Got,Sublime,Sublime,trackdone,trackdone,TRUE,FALSE
6QdwofpqDvvNxX88C9A0iQ,15-11-2023 06:42,android,196360,Nada Valgo Sin Tu Amor,Juanes,Mi Sangre,trackdone,trackdone,TRUE,FALSE
57dG9il4j7Hi7G8Cqgi0Ts,15-11-2023 06:46,android,211255,Tatuajes,Joan Sebastian,Joan Sebastian Con Mariachi,trackdone,trackdone,TRUE,FALSE
1qRA5BS78u3gME0loMl9AA,15-11-2023 06:48,android,153693,For What It's Worth,Buffalo Springfield,Buffalo Springfield,trackdone,trackdone,TRUE,FALSE
3F8xLc6T4VvKH7I6wqVAN2,15-11-2023 06:52,android,220693,Lovebug,Jonas Brothers,A Little Bit Longer,trackdone,trackdone,TRUE,FALSE
2lwwrWVKdf3LR9lbbhnr6R,15-11-2023 06:55,android,208466,Float On,Modest Mouse,Good News For People Who Love Bad News,trackdone,trackdone,TRUE,FALSE
2tznHmp70DxMyr2XhWLOW0,15-11-2023 06:59,android,208760,Cigarette Daydreams,Cage The Elephant,Melophobia,trackdone,trackdone,TRUE,FALSE
4IvZLDtwBHmBmwgDIUbuwa,15-11-2023 07:01,android,128404,Here Comes Your Man,Pixies,Doolittle,trackdone,logout,TRUE,FALSE
0GjEhVFGZW8afUYGChu3Rr,17-11-2023 00:41,android,230400,Dancing Queen,ABBA,Arrival,clickrow,trackdone,FALSE,FALSE
